D,H,Beta,J,CT,CP,CQ,RPS
12,5.5,0.458333333,0.129536158,0.091224361,0.042471438,0.006762969,113.9260742
12,5.5,0.458333333,0.129839963,0.092341401,0.043051115,0.006855308,113.6595052
12,5.5,0.458333333,0.129683403,0.093050792,0.042754183,0.006807994,113.7967204
12,5.5,0.458333333,0.129593441,0.091414247,0.042695697,0.006798672,113.8757162
12,5.5,0.458333333,0.129990937,0.093806517,0.042981736,0.006844367,113.5274984
12,5.5,0.458333333,0.129555555,0.090511787,0.042498712,0.006767362,113.9090169
12,5.5,0.458333333,0.129852124,0.092530029,0.042910225,0.006832904,113.6488607
12,5.5,0.458333333,0.129568246,0.091572889,0.042222831,0.006723408,113.8978597
12,5.5,0.458333333,0.129904364,0.091706755,0.042854821,0.006823952,113.6031576
12,5.5,0.458333333,0.129735554,0.091964778,0.042604946,0.006784045,113.7509766
12,5.5,0.458333333,0.129540831,0.089796239,0.04207052,0.006698996,113.9219645
12,5.5,0.458333333,0.12949247,0.090635692,0.042218127,0.006722666,113.9645101
12,5.5,0.458333333,0.129883308,0.093178263,0.042623921,0.006787369,113.6215739
12,5.5,0.458333333,0.130216698,0.092109769,0.042925855,0.006835304,113.3306722
12,5.5,0.458333333,0.129905685,0.092571797,0.042553171,0.006776002,113.602002
12,5.5,0.458333333,0.079173646,0.101528073,0.051784466,0.008259755,100.7094727
12,5.5,0.458333333,0.076621604,0.102014721,0.045534325,0.007250739,104.0638102
12,5.5,0.458333333,0.076372914,0.100743753,0.04425536,0.007047199,104.4026693
12,5.5,0.458333333,0.076399373,0.101074313,0.04446566,0.007080742,104.3665121
12,5.5,0.458333333,0.076539764,0.101254695,0.044784008,0.007131293,104.1750814
12,5.5,0.458333333,0.076750709,0.102560387,0.045402076,0.007229537,103.8887614
12,5.5,0.458333333,0.076526271,0.100733895,0.044811756,0.007135896,104.1934489
12,5.5,0.458333333,0.076507161,0.101166061,0.04455396,0.007094965,104.2194743
12,5.5,0.458333333,0.076901725,0.10321286,0.045742084,0.007283791,103.6847494
12,5.5,0.458333333,0.076475559,0.099211234,0.044467951,0.007080941,104.2625407
12,5.5,0.458333333,0.07686376,0.102790751,0.045420342,0.007232655,103.7359619
12,5.5,0.458333333,0.076840504,0.102098317,0.045166311,0.007192343,103.7673584
12,5.5,0.458333333,0.076940138,0.104403336,0.045576038,0.007257525,103.6329834
12,5.5,0.458333333,0.077081361,0.104802384,0.045692018,0.007275753,103.4431152
12,5.5,0.458333333,0.077076874,0.103356857,0.045678988,0.007273862,103.4491374
12,5.5,0.458333333,0.077115147,0.103865774,0.045849357,0.007300998,103.3977946
12,5.5,0.458333333,0.077335689,0.106425987,0.04654882,0.00741273,103.1029297
12,5.5,0.458333333,0.077022687,0.10315955,0.045303557,0.007214096,103.5219157
12,5.5,0.458333333,0.077327059,0.104764031,0.046613759,0.00742237,103.1144369
12,5.5,0.458333333,0.077141066,0.102965813,0.045663941,0.007271693,103.3630534
12,5.5,0.458333333,0.077131483,0.104596728,0.045767512,0.007287396,103.3758952
12,5.5,0.458333333,0.077160469,0.103004324,0.045743161,0.007284098,103.3370606
12,5.5,0.458333333,0.077187209,0.102181117,0.045752773,0.007285716,103.3012614
12,5.5,0.458333333,0.077122673,0.102387308,0.045665378,0.007271884,103.3877035
12,5.5,0.458333333,0.077196028,0.10327548,0.04584407,0.007299975,103.2894613
12,5.5,0.458333333,0.077249374,0.101985052,0.045924216,0.00731368,103.2181315
12,5.5,0.458333333,0.077130627,0.103393411,0.045448132,0.007237437,103.3770427
12,5.5,0.458333333,0.077386289,0.104820932,0.04625112,0.007364765,103.0355143
12,5.5,0.458333333,0.077139329,0.102371876,0.045161712,0.007191672,103.3653809
12,5.5,0.458333333,0.077176594,0.101319928,0.045390885,0.007228187,103.3154704
12,5.5,0.458333333,0.071180132,0.102581962,0.050856176,0.008078387,112.0191244
12,5.5,0.458333333,0.068312769,0.103007027,0.046353716,0.007381248,116.7210205
12,5.5,0.458333333,0.068591887,0.104948745,0.046997823,0.007483688,116.2460531
12,5.5,0.458333333,0.068426778,0.103034418,0.046486371,0.007402386,116.5265462
12,5.5,0.458333333,0.068765728,0.106172736,0.047101225,0.007500044,115.952181
12,5.5,0.458333333,0.068584569,0.102004516,0.046306838,0.007373751,116.2584554
12,5.5,0.458333333,0.06832485,0.101703922,0.045660135,0.007270709,116.7003825
12,5.5,0.458333333,0.068531561,0.102924917,0.04602543,0.007328867,116.3483805
12,5.5,0.458333333,0.068832288,0.104059207,0.046812933,0.007454401,115.8400553
12,5.5,0.458333333,0.069016806,0.104314629,0.047030993,0.00748898,115.5303548
12,5.5,0.458333333,0.068976576,0.104248878,0.04692822,0.007472658,115.5977376
12,5.5,0.458333333,0.068772432,0.103423577,0.046343749,0.007379691,115.9408773
12,5.5,0.458333333,0.068885681,0.103391696,0.046552241,0.007412817,115.7502686
12,5.5,0.458333333,0.068794586,0.103783555,0.046200595,0.007356589,115.90354
12,5.5,0.458333333,0.068846489,0.104806948,0.046299994,0.007372506,115.8161621
12,5.5,0.458333333,0.069087308,0.105326618,0.046726729,0.007440666,115.4124593
12,5.5,0.458333333,0.06877794,0.101895072,0.045839497,0.007299142,115.9315918
12,5.5,0.458333333,0.068934054,0.10301795,0.046203658,0.007357503,115.669043
12,5.5,0.458333333,0.069140316,0.103403538,0.04670253,0.007436666,115.3239746
12,5.5,0.458333333,0.068661542,0.102492022,0.045470571,0.007240702,116.128125
12,5.5,0.458333333,0.068843635,0.102503782,0.045950389,0.007316932,115.8209635
12,5.5,0.458333333,0.068995558,0.103501077,0.04616674,0.007351539,115.5659343
12,5.5,0.458333333,0.069349319,0.105232355,0.046889307,0.007466366,114.976416
12,5.5,0.458333333,0.069334218,0.104460345,0.04693755,0.007474237,115.0014567
12,5.5,0.458333333,0.069306209,0.103639498,0.046677441,0.007432728,115.047933
12,5.5,0.458333333,0.069352617,0.105450911,0.046943982,0.007475129,114.9709473
12,5.5,0.458333333,0.068995067,0.102492892,0.045955091,0.007317699,115.5667562
12,5.5,0.458333333,0.069351621,0.104296249,0.04683135,0.007457472,114.9725993
12,5.5,0.458333333,0.0692373,0.103900495,0.046610673,0.007422401,115.1624349
